ID,segment
test-1,0.0218879719617
test-10,0.220352191409
test-100,0.133063531796
test-1000,0.0822349840045
test-10000,0.0930856059732
test-100000,0.0557815815533
test-10001,0.0440957696066
test-10002,0.0697824707866
test-10003,0.00656402287555
test-10004,0.0257772112481
test-10005,0.0376093065331
test-10006,0.0801276068298
test-10007,0.18006613481
test-10008,0.107219698978
test-10009,0.20798478492
test-1001,0.205063746669
test-10010,0.0872757618219
test-10011,0.0151033477107
test-10012,0.018555737917
test-10013,0.0548940684846
test-10014,0.266163598605
test-10015,0.0190194351455
test-10016,0.0331572894662
test-10017,0.005528531036
test-10018,0.00858744781557
test-10019,0.115935981601
test-1002,0.00947047375315
test-10020,0.12188152065
test-10021,0.00939080268536
test-10022,0.00855690073166
test-10023,0.0342628809051
test-10024,0.0115756854207
test-10025,0.116181249857
test-10026,0.0727324305167
test-10027,0.0072126509616
test-10028,0.025951705493
test-10029,0.25209630345
test-1003,0.0168645595317
test-10030,0.0151663105678
test-10031,0.00860733046771
test-10032,0.0537009484683
test-10033,0.142845208273
test-10034,0.0178626288659
test-10035,0.0928894295581
test-10036,0.157485840412
test-10037,0.0265179750142
test-10038,0.00930802828818
test-10039,0.0572939715293
test-1004,0.0125561891694
test-10040,0.0160809187885
test-10041,0.0962677129739
test-10042,0.126996237265
test-10043,0.113911937058
test-10044,0.0135193407464
test-10045,0.0267693121879
test-10046,0.016470846396
test-10047,0.0241791920061
test-10048,0.0167628074337
test-10049,0.0907868707455
test-1005,0.0120103406033
test-10050,0.0131095402822
test-10051,0.0570374261315
test-10052,0.0166652082518
test-10053,0.0803364148532
test-10054,0.0199515171022
test-10055,0.00721887008416
test-10056,0.0198162203952
test-10057,0.0702635498878
test-10058,0.0108470639354
test-10059,0.104278401594
test-1006,0.00835528976143
test-10060,0.013627509661
test-10061,0.012783539433
test-10062,0.0821645643327
test-10063,0.0132166078183
test-10064,0.118712131442
test-10065,0.122409309214
test-10066,0.0235478005511
test-10067,0.115169048613
test-10068,0.19997657708
test-10069,0.0215327351061
test-1007,0.0720197759654
test-10070,0.103119826273
test-10071,0.0130218082288
test-10072,0.0944331140677
test-10073,0.218721861572
test-10074,0.021076566159
test-10075,0.107592300519
test-10076,0.0241315981764
test-10077,0.0769610802732
test-10078,0.148750420531
test-10079,0.00741209510007
test-1008,0.0173442556357
test-10080,0.0162173664992
test-10081,0.00950233280749
test-10082,0.0732956704099
test-10083,0.105194794432
test-10084,0.00583576419582
test-10085,0.116381730348
test-10086,0.00713879547881
test-10087,0.0547498496852
test-10088,0.0122288546235
test-10089,0.108155891051
test-1009,0.210681933577
test-10090,0.0163818960241
test-10091,0.0112856122317
test-10092,0.0746822878177
test-10093,0.00595386042366
test-10094,0.0435693133085
test-10095,0.21925579495
test-10096,0.0185316493973
test-10097,0.00728018998998
test-10098,0.0699886467952
test-10099,0.157213214482
test-101,0.0946067762733
test-1010,0.0245973921781
test-10100,0.00875754079847
test-10101,0.0316896075702
test-10102,0.00798105122979
test-10103,0.0173341746617
test-10104,0.0132448096665
test-10105,0.0485298964277
test-10106,0.0154887989922
test-10107,0.155453487786
test-10108,0.0933918488031
test-10109,0.0291265085112
test-1011,0.0417422271545
test-10110,0.0122835473399
test-10111,0.0209908293354
test-10112,0.0974959801565
test-10113,0.0100992992719
test-10114,0.101508071436
test-10115,0.0306678217983
test-10116,0.0307608076006
test-10117,0.0130480894851
test-10118,0.0326334032293
test-10119,0.0766196450142
test-1012,0.00926756807695
test-10120,0.0150871068883
test-10121,0.0372182462727
test-10122,0.0104776814823
test-10123,0.0529860580659
test-10124,0.0799503351765
test-10125,0.00851985579378
test-10126,0.0571339987322
test-10127,0.0224638309058
test-10128,0.0181989929097
test-10129,0.120106626207
test-1013,0.0455547242154
test-10130,0.0264514973145
test-10131,0.0128960513328
test-10132,0.0510237211218
test-10133,0.0105561424385
test-10134,0.0688100662815
test-10135,0.105609803325
test-10136,0.0128819638362
test-10137,0.173498217787
test-10138,0.057805325142
test-10139,0.0904624342568
test-1014,0.0143460080842
test-10140,0.0239216010339
test-10141,0.0796618663342
test-10142,0.112441655598
test-10143,0.0673652131754
test-10144,0.063587861006
test-10145,0.0184362676787
test-10146,0.0536550198894
test-10147,0.00599481994293
test-10148,0.00948889274282
test-10149,0.0565049145391
test-1015,0.0521118546251
test-10150,0.00918728929811
test-10151,0.229848020968
test-10152,0.138941505141
test-10153,0.0942228329684
test-10154,0.0578793727275
test-10155,0.0699661794616
test-10156,0.228536079579
test-10157,0.0773095091053
test-10158,0.00916523281878
test-10159,0.00707562823259
test-1016,0.0767383354
test-10160,0.127707682202
test-10161,0.0560380350368
test-10162,0.0217855201846
test-10163,0.030354061325
test-10164,0.193751723939
test-10165,0.153124478906
test-10166,0.0803231252149
test-10167,0.0089271000457
test-10168,0.0355236667907
test-10169,0.0820603459635
test-1017,0.0459176739183
test-10170,0.0080958426652
test-10171,0.218276023093
test-10172,0.0313863986663
test-10173,0.0226952424617
test-10174,0.156969981883
test-10175,0.12601447705
test-10176,0.00504767693
test-10177,0.0284201591855
test-10178,0.00750717368709
test-10179,0.010887913116
test-1018,0.0780897293664
test-10180,0.114466368857
test-10181,0.0141901457556
test-10182,0.148742354446
test-10183,0.00762816093604
test-10184,0.0171793284508
test-10185,0.0298647744335
test-10186,0.0194855787604
test-10187,0.16040923252
test-10188,0.0123625439634
test-10189,0.105471353378
test-1019,0.0173180426984
test-10190,0.0745560282162
test-10191,0.0517531735947
test-10192,0.128020124818
test-10193,0.149615793267
test-10194,0.0215941189615
test-10195,0.0110750430965
test-10196,0.0748570658373
test-10197,0.00964236849832
test-10198,0.145987230839
test-10199,0.0114114975894
test-102,0.0167338751817
test-1020,0.00900931630172
test-10200,0.177273971366
test-10201,0.100730887651
test-10202,0.155262507115
test-10203,0.0103798698634
test-10204,0.0836243540404
test-10205,0.011111523786
test-10206,0.077400928657
test-10207,0.0624993556037
test-10208,0.200458992337
test-10209,0.00926221438532
test-1021,0.0242399645357
test-10210,0.009071780625
test-10211,0.0106657196766
test-10212,0.0202187005172
test-10213,0.0173065355995
test-10214,0.0766611370269
test-10215,0.0182301119599
test-10216,0.02242546714
test-10217,0.0143470362637
test-10218,0.109857378185
test-10219,0.0672601007745
test-1022,0.206021067455
test-10220,0.134085683224
test-10221,0.00790430006707
test-10222,0.149125920462
test-10223,0.00968187859152
test-10224,0.0780110258759
test-10225,0.0240765679114
test-10226,0.0275801637902
test-10227,0.0750205281889
test-10228,0.183051096723
test-10229,0.133780925119
test-1023,0.0244119318188
test-10230,0.0913715918944
test-10231,0.1010006558
test-10232,0.0134007409285
test-10233,0.068608407151
test-10234,0.0129070920835
test-10235,0.0441293611827
test-10236,0.0231974762325
test-10237,0.09873072399
test-10238,0.0260831575512
test-10239,0.0823384582234
test-1024,0.0304704689778
test-10240,0.0251098445834
test-10241,0.1239513605
test-10242,0.0614158526439
test-10243,0.0557149004707
test-10244,0.0975564937499
test-10245,0.014833357928
test-10246,0.0238705117458
test-10247,0.165427358296
test-10248,0.0506917663192
test-10249,0.158556508856
test-1025,0.0163687169772
test-10250,0.00711482745063
test-10251,0.0662364921577
test-10252,0.0867098551853
